name,dosageType,generic,strength,manufacturer,UnitPrice,PackageSize
Sefro,Capsule,Cephradine,500 mg,Navana Pharmaceuticals Ltd.,15.00,(24's pack: ৳ 360.00)
Sefro,Capsule,Cephradine,250 mg,Navana Pharmaceuticals Ltd.,6.52,(24's pack: ৳ 156.55)
Segal,Capsule,Fluconazole,150 mg,Supreme Pharmaceutical Ltd.,22.00,(10's pack: ৳ 220.00)
Segal,Capsule,Fluconazole,50 mg,Supreme Pharmaceutical Ltd.,8.00,(20's pack: ৳ 160.00)
Sefurox,IV Injection,Cefuroxime Axetil,1.5 gm/vial,Synovia pharma plc,1.5,1.5 gm vial: ৳ 200.60
Sefurox,IM/IV Injection,Cefuroxime Axetil,750 mg/vial,Synovia pharma plc,750,750 mg vial: ৳ 125.85
Sefurox,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Synovia pharma plc,70,70 ml bottle: ৳ 199.34
Sefurox,Tablet,Cefuroxime Axetil,500 mg,Synovia pharma plc,45.31,(12's pack: ৳ 543.72)
Sefurox,Tablet,Cefuroxime Axetil,250 mg,Synovia pharma plc,25.17,(20's pack: ৳ 503.40)
Sefur DS,Powder for Suspension,Cefuroxime Axetil,250 mg/5 ml,Opsonin Pharma Ltd.,50,50 ml bottle: ৳ 250.94
Sefril DS,Powder for Suspension,Cephradine,250 mg/5 ml,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 120.82
Sefril,Pediatric Drops,Cephradine,125 mg/1.25 ml,ACME Laboratories Ltd.,15,15 ml bottle: ৳ 62.19
Sefril,Powder for Suspension,Cephradine,125 mg/5 ml,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 90.27
Sefril,Capsule,Cephradine,500 mg,ACME Laboratories Ltd.,15.04,(20's pack: ৳ 300.80)
Sefril,Capsule,Cephradine,250 mg,ACME Laboratories Ltd.,8.03,(20's pack: ৳ 160.60)
Sefrate,Pediatric Drops,Cephradine,125 mg/1.25 ml,Bristol Pharmaceuticals Ltd.,15,15 ml bottle: ৳ 50.00
Semaglut,Tablet,Semaglutide (Tablet),3 mg,NIPRO JMI Pharma Ltd.,0,
Semaglut,Tablet,Semaglutide (Tablet),7 mg,NIPRO JMI Pharma Ltd.,0,
Semaglo,Tablet,Semaglutide (Tablet),7 mg,Ziska Pharmaceuticals Ltd.,1000.00,"(10's pack: ৳ 10,000.00)"
Semaglo,Tablet,Semaglutide (Tablet),3 mg,Ziska Pharmaceuticals Ltd.,500.00,"(10's pack: ৳ 5,000.00)"
Selotin,Tablet,Sertraline Hydrochloride,50 mg,The White Horse Pharma,5.00,(30's pack: ৳ 150.00)
Selomet-SR,Tablet (Extended Release),Metoprolol Tartrate,50 mg,UniMed UniHealth,4.00,(30's pack: ৳ 120.00)
Selomet,Tablet,Metoprolol Tartrate,50 mg,UniMed UniHealth,2.00,(30's pack: ৳ 60.00)
Selomet,Tablet,Metoprolol Tartrate,25 mg,UniMed UniHealth,1.50,(30's pack: ৳ 45.00)
Seloktil,Capsule (Delayed Release),Omeprazole,20 mg,Belsen Pharmaceuticals Ltd.,5.00,(100's pack: ৳ 500.00)
Selium,Tablet,Diazepam,5 mg,Silco Pharmaceutical Ltd.,0.69,(100's pack: ৳ 69.00)
Selex,Powder for Suspension,Cephalexin,125 mg/5 ml,Orion Pharma Ltd.,100,100 ml bottle: ৳ 82.00
Selex,Capsule,Cephalexin,500 mg,Orion Pharma Ltd.,12.43,(30's pack: ৳ 372.90)
Select Plus,Shampoo,Ketoconazole (Shampoo),2%,Square Pharmaceuticals Ltd.,75,75 ml bottle: ৳ 175.00
Segorin Plus,Tablet,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,Pacific Pharmaceuticals Ltd.,45.00,Unit Price: ৳ 45.00
Segorin Plus,Tablet,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,Pacific Pharmaceuticals Ltd.,25.00,Unit Price: ৳ 25.00
Segorin Plus,Powder for Suspension,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,Pacific Pharmaceuticals Ltd.,70,70 ml bottle: ৳ 200.00
Senride,Tablet,Glimepiride,2 mg,Navana Pharmaceuticals Ltd.,7.24,(30's pack: ৳ 217.20)
Senride,Tablet,Glimepiride,1 mg,Navana Pharmaceuticals Ltd.,5.75,(60's pack: ৳ 345.00)
Sencital,Tablet,Escitalopram Oxalate,10 mg,Belsen Pharmaceuticals Ltd.,10.00,(30's pack: ৳ 300.00)
Semotrim,Tablet,Sulphamethoxazole + Trimethoprim,400 mg+80 mg,Reliance Pharmaceuticals Ltd.,2.06,(100's pack: ৳ 206.00)
Semotrim,Oral Suspension,Sulphamethoxazole + Trimethoprim,(200 mg+40 mg)/5 ml,Reliance Pharmaceuticals Ltd.,60,60 ml bottle: ৳ 22.00
Semglee,SC Injection,Insulin Glargine [rDNA],100 IU/ml,Beximco Pharmaceuticals Ltd.,3,"(5's pack: ৳ 5,080.00)"
Semecon,Pediatric Drops,Simethicone,67 mg/ml,Drug International Ltd.,20,20 ml drop: ৳ 46.00
Sematid,Tablet,Semaglutide (Tablet),7 mg,ACME Laboratories Ltd.,1800.00,"(10's pack: ৳ 18,000.00)"
Sematid,Tablet,Semaglutide (Tablet),3 mg,ACME Laboratories Ltd.,800.00,"(10's pack: ৳ 8,000.00)"
Segorin,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Pacific Pharmaceuticals Ltd.,70,70 ml bottle: ৳ 200.00
Segorin,Tablet,Cefuroxime Axetil,500 mg,Pacific Pharmaceuticals Ltd.,45.00,(12's pack: ৳ 540.00)
Segorin,Tablet,Cefuroxime Axetil,250 mg,Pacific Pharmaceuticals Ltd.,25.00,(20's pack: ৳ 500.00)
Segorin,Tablet,Cefuroxime Axetil,125 mg,Pacific Pharmaceuticals Ltd.,15.00,(20's pack: ৳ 300.00)
Segal,Powder for Suspension,Fluconazole,50 mg/5 ml,Supreme Pharmaceutical Ltd.,35,35 ml bottle: ৳ 78.00
Seraflo,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+100 mcg,Drug International Ltd.,6.50,(30's pack: ৳ 195.00)
Seraflo,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+125 mcg)/puff,Drug International Ltd.,120,120 metered doses: ৳ 575.00
Seraflo,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+250 mcg)/puff,Drug International Ltd.,120,120 metered doses: ৳ 780.00
Sera,Tablet,Sertraline Hydrochloride,50 mg,Ambee Pharmaceuticals Ltd.,4.01,(50's pack: ৳ 200.72)
Septa,Pediatric Drops,Cephradine,125 mg/1.25 ml,Doctor’s Chemical Works Ltd.,15,15 ml bottle: ৳ 48.90
Septa,Powder for Suspension,Cephradine,125 mg/5 ml,Doctor’s Chemical Works Ltd.,100,100 ml bottle: ৳ 49.00
Septa,Capsule,Cephradine,500 mg,Doctor’s Chemical Works Ltd.,12.36,(20's pack: ৳ 247.20)
Sepsol,Hand Rub,Isopropyl Alcohol + Hydrogen Peroxide + Glycerol,75%+0.125%+1.45%,Incepta Pharmaceuticals Ltd.,50,50 ml bottle: ৳ 45.00
Sepra-S,Powder for Suspension,Cephradine,125 mg/5 ml,Seema Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 86.00
Sepra-S,Capsule,Cephradine,500 mg,Seema Pharmaceuticals Ltd.,15.00,(20's pack: ৳ 300.00)
Sepnil,Solution,Chlorhexidine Gluconate + Cetrimide,1.5%+15%,Square Pharmaceuticals Ltd.,5,5 liter pack: ৳ 1
Sepnil,Solution,Chlorhexidine Gluconate + Cetrimide,0.5%+3%,Square Pharmaceuticals Ltd.,50,50 ml bottle: ৳ 11.00
Seplon,Solution,Chlorhexidine Gluconate + Cetrimide,0.3%+3%,Indo Bangla Pharmaceutical,56,56 ml bottle: ৳ 18.00
Sephar DS,Powder for Suspension,Cephradine,250 mg/5 ml,Jenphar Bangladesh Ltd.,100,100 ml bottle: ৳ 120.00
Sephar,Powder for Suspension,Cephradine,125 mg/5 ml,Jenphar Bangladesh Ltd.,100,100 ml bottle: ৳ 80.00
Sephar,Capsule,Cephradine,500 mg,Jenphar Bangladesh Ltd.,12.50,(30's pack: ৳ 375.00)
Seretide,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+100 mcg,GlaxoSmithKline,60,60 doses unit: ৳ 935.00
Seren,Capsule,Fluoxetine Hydrochloride,20 mg,Sonear Laboratories Ltd.,2.87,(30's pack: ৳ 86.10)
Serelose,Oral Solution,Lactulose,3.35 gm/5 ml,Beximco Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 130.00
Serelam,Tablet,Alprazolam,0.5 mg,General Pharmaceuticals Ltd.,2.01,(100's pack: ৳ 201.43)
Serelam,Tablet,Alprazolam,0.25 mg,General Pharmaceuticals Ltd.,1.00,(100's pack: ৳ 100.05)
Seravent,Inhaler,Salmeterol Xinafoate,25 mcg/puff,Drug International Ltd.,200,200 metered doses: ৳ 200.00
Seraflo,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+250 mcg,Drug International Ltd.,10.22,(30's pack: ৳ 306.65)
Seofol Plus,Capsule (Timed Release),Ferrous Sulfate + Folic Acid,150 mg+0.5 mg,Silco Pharmaceutical Ltd.,2.40,(50's pack: ৳ 120.00)
Sentix,Tablet,Flupentixol,1 mg,Eskayef Pharmaceuticals Ltd.,5.00,(30's pack: ৳ 150.00)
Sentix,Tablet,Flupentixol,0.5 mg,Eskayef Pharmaceuticals Ltd.,3.50,(50's pack: ৳ 175.00)
Sentibac,IM/IV Injection,Ceftazidime Pentahydrate,1 gm/vial,Globex Pharmaceuticals Ltd.,1,1 gm vial: ৳ 230.00
Sentibac,IM/IV Injection,Ceftazidime Pentahydrate,250 mg/vial,Globex Pharmaceuticals Ltd.,250,250 mg vial: ৳ 85.00
Sensit,Tablet,Flupentixol + Melitracen,0.5 mg+10 mg,Eskayef Pharmaceuticals Ltd.,5.00,(50's pack: ৳ 250.00)
Sensipin,Tablet,Clozapine,25 mg,Beximco Pharmaceuticals Ltd.,3.84,(30's pack: ৳ 115.20)
Serolux,Tablet,Sertraline Hydrochloride,100 mg,SANDOZ (A Novartis Division),11.20,(30's pack: ৳ 336.00)
Serolux,Tablet,Sertraline Hydrochloride,50 mg,SANDOZ (A Novartis Division),7.10,(50's pack: ৳ 355.00)
Serolux,Tablet,Sertraline Hydrochloride,25 mg,SANDOZ (A Novartis Division),4.10,(50's pack: ৳ 205.00)
Serofit,Tablet,Sertraline Hydrochloride,50 mg,Everest Pharmaceuticals Ltd.,7.00,(30's pack: ৳ 210.00)
Serofit,Tablet,Sertraline Hydrochloride,25 mg,Everest Pharmaceuticals Ltd.,3.50,(50's pack: ৳ 175.00)
Serobion,Tablet,"Vitamin B1, B6 & B12",100 mg+200 mg+200 mcg,Leon Pharmaceuticals Ltd.,5.00,"(30's pack: ৳ 150.00),(50's pack: ৳ 250.00)"
Serivan,Capsule,Pimavanserin,34 mg,Incepta Pharmaceuticals Ltd.,0,Price Unavailable
Serivan,Tablet,Pimavanserin,17 mg,Incepta Pharmaceuticals Ltd.,20.00,(30's pack: ৳ 600.00)
Serifen,Tablet,Dexibuprofen,400 mg,Silva Pharmaceuticals Ltd.,5.02,(50's pack: ৳ 251.00)
Serifen,Tablet,Dexibuprofen,300 mg,Silva Pharmaceuticals Ltd.,4.02,(50's pack: ৳ 201.00)
Seridol,Tablet,Paracetamol,500 mg,Sonear Laboratories Ltd.,0.80,(100's pack: ৳ 80.00)
Sergel MUPS,MUPS Tablet,Esomeprazole (MUPS tablet),40 mg,Healthcare Pharmaceuticals Ltd.,14.00,(30's pack: ৳ 420.00)
Sergel MUPS,MUPS Tablet,Esomeprazole (MUPS tablet),20 mg,Healthcare Pharmaceuticals Ltd.,10.00,(50's pack: ৳ 500.00)
Sergel,Oral Powder,Esomeprazole,20 mg,Healthcare Pharmaceuticals Ltd.,20,(30's pack: ৳ 210.00)
Sergel,Tablet (Enteric Coated),Esomeprazole,40 mg,Healthcare Pharmaceuticals Ltd.,9.00,(30's pack: ৳ 270.00)
Sergel,Tablet (Enteric Coated),Esomeprazole,20 mg,Healthcare Pharmaceuticals Ltd.,7.00,(30's pack: ৳ 210.00)
Seropam,Tablet,Escitalopram Oxalate,10 mg,Beximco Pharmaceuticals Ltd.,8.00,(30's pack: ৳ 240.00)
Seropam,Tablet,Escitalopram Oxalate,5 mg,Beximco Pharmaceuticals Ltd.,5.50,(30's pack: ৳ 165.00)
Serontin,Syrup,Ethosuximide,250 mg/5 ml,ACI Limited,70,70 ml bottle: ৳ 130.39
Seronex,Tablet,Sertraline Hydrochloride,100 mg,Renata Limited,10.00,(30's pack: ৳ 300.00)
Seronex,Tablet,Sertraline Hydrochloride,25 mg,Renata Limited,3.00,(50's pack: ৳ 150.00)
Seronex,Tablet,Sertraline Hydrochloride,50 mg,Renata Limited,6.00,(50's pack: ৳ 300.00)
Sergel,IV Injection,Esomeprazole,40 mg/vial,Healthcare Pharmaceuticals Ltd.,40,40 mg vial: ৳ 100.00
Sergel,Capsule (Delayed Release),Esomeprazole,40 mg,Healthcare Pharmaceuticals Ltd.,10.00,(50's pack: ৳ 500.00)
Sergel,Capsule (Delayed Release),Esomeprazole,20 mg,Healthcare Pharmaceuticals Ltd.,7.00,(100's pack: ৳ 700.00)
Seretide,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+250 mcg)/puff,GlaxoSmithKline,120,120 metered doses: ৳ 1
Seretide,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+125 mcg)/puff,GlaxoSmithKline,120,120 metered doses: ৳ 1
Seretide,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+50 mcg)/puff,GlaxoSmithKline,120,120 metered doses: ৳ 750.00
Seretide,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+500 mcg,GlaxoSmithKline,60,60 doses unit: ৳ 1
Seretide,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+250 mcg,GlaxoSmithKline,60,60 doses unit: ৳ 1
Servidoxyne,Capsule,Doxycycline Hydrochloride,100 mg,Novartis (Bangladesh) Ltd.,2.17,(100's pack: ৳ 217.00)
Servex,Tablet,Aceclofenac,100 mg,Novo Healthcare and Pharma Ltd.,4.02,(50's pack: ৳ 200.77)
Sertlin,Tablet,Sertraline Hydrochloride,100 mg,Innovative Pharma (Albion),11.81,(30's pack: ৳ 354.18)
Sertlin,Tablet,Sertraline Hydrochloride,50 mg,Innovative Pharma (Albion),7.08,(50's pack: ৳ 354.18)
Sertlin,Tablet,Sertraline Hydrochloride,25 mg,Innovative Pharma (Albion),3.54,(50's pack: ৳ 177.00)
Sertal,Tablet,Sertraline Hydrochloride,100 mg,Drug International Ltd.,8.05,(30's pack: ৳ 241.50)
Sertal,Tablet,Sertraline Hydrochloride,25 mg,Drug International Ltd.,3.05,(50's pack: ৳ 152.50)
Sertal,Tablet,Sertraline Hydrochloride,50 mg,Drug International Ltd.,6.00,(50's pack: ৳ 300.00)
Sertacon,Cream,Sertaconazole Nitrate,2%,Opsonin Pharma Ltd.,20,20 gm tube: ৳ 200.00
Serozid,IM/IV Injection,Ceftazidime Pentahydrate,1 gm/vial,Opsonin Pharma Ltd.,1,1 gm vial: ৳ 240.00
Serozid,IM/IV Injection,Ceftazidime Pentahydrate,500 mg/vial,Opsonin Pharma Ltd.,500,500 mg vial: ৳ 130.39
Serozid,IM/IV Injection,Ceftazidime Pentahydrate,250 mg/vial,Opsonin Pharma Ltd.,250,250 mg vial: ৳ 85.00
Seroxyn,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+250 mcg)/puff,ACI Limited,120,120 metered doses: ৳ 797.39
Seroxyn,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+125 mcg)/puff,ACI Limited,120,120 metered doses: ৳ 596.79
Seroxyn,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+50 mcg)/puff,ACI Limited,120,120 metered doses: ৳ 520.00
Seroxyn,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+500 mcg,ACI Limited,15.05,(30's pack: ৳ 451.50)
Serviflox,Tablet,Ciprofloxacin,250 mg,SANDOZ (A Novartis Division),8.08,(30's pack: ৳ 242.54)
Serviflox,Tablet,Ciprofloxacin,500 mg,SANDOZ (A Novartis Division),14.05,(30's pack: ৳ 421.49)
Seroxyn,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+250 mcg,ACI Limited,12.00,(50's pack: ৳ 600.00)
Seroxyn,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+100 mcg,ACI Limited,5.50,(50's pack: ৳ 275.00)
Serotal,Tablet,Escitalopram Oxalate,5 mg,Globe Pharmaceuticals Ltd.,5.50,(30's pack: ৳ 165.00)
Serotal,Tablet,Escitalopram Oxalate,10 mg,Globe Pharmaceuticals Ltd.,10.00,(20's pack: ৳ 200.00)
Seroset,IM/IV Injection,Ondansetron,8 mg/4 ml,Globex Pharmaceuticals Ltd.,4,4 ml ampoule: ৳ 25.00
Seroset,Tablet,Ondansetron,8 mg,Globex Pharmaceuticals Ltd.,7.00,(30's pack: ৳ 210.00)
Seroquet ER,Tablet (Extended Release),Quetiapine Fumarate,50 mg,UniMed UniHealth,8.00,(30's pack: ৳ 240.00)
Seroquet ER,Tablet (Extended Release),Quetiapine Fumarate,200 mg,UniMed UniHealth,20.00,(30's pack: ৳ 600.00)
Seroquet,Tablet,Quetiapine Fumarate,100 mg,UniMed UniHealth,10.00,(30's pack: ৳ 300.00)
Seroquet,Tablet,Quetiapine Fumarate,25 mg,UniMed UniHealth,3.00,(30's pack: ৳ 90.00)
Seropin,Tablet,Quetiapine Fumarate,25 mg,Eskayef Pharmaceuticals Ltd.,3.00,(50's pack: ৳ 150.00)
Seropin,Tablet,Quetiapine Fumarate,100 mg,Eskayef Pharmaceuticals Ltd.,10.00,(30's pack: ৳ 300.00)
Sevel,Tablet,Sevelamer Carbonate,800 mg,ACME Laboratories Ltd.,60.00,(12's pack: ৳ 720.00)
Setronax,Tablet,Ondansetron,8 mg,Monicopharma Ltd.,10.00,(30's pack: ৳ 300.00)
Setra,Tablet,Sertraline Hydrochloride,100 mg,General Pharmaceuticals Ltd.,11.00,(30's pack: ৳ 330.00)
Setra,Tablet,Sertraline Hydrochloride,50 mg,General Pharmaceuticals Ltd.,7.00,(50's pack: ৳ 350.00)
Setra,Tablet,Sertraline Hydrochloride,25 mg,General Pharmaceuticals Ltd.,3.50,(50's pack: ৳ 175.00)
Setorib,Tablet,Etoricoxib,120 mg,ACME Laboratories Ltd.,14.10,(20's pack: ৳ 282.00)
Setorib,Tablet,Etoricoxib,90 mg,ACME Laboratories Ltd.,12.09,(30's pack: ৳ 362.70)
Setorib,Tablet,Etoricoxib,60 mg,ACME Laboratories Ltd.,7.04,(40's pack: ৳ 281.60)
Seton,Tablet,Ondansetron,8 mg,Delta Pharma Ltd.,5.00,(30's pack: ৳ 150.00)
Setir,Tablet,Cetirizine Hydrochloride,10 mg,Amulet Pharmaceuticals Ltd.,2.00,(100's pack: ৳ 200.00)
Setic,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,SANDOZ (A Novartis Division),50,50 ml bottle: ৳ 210.00
Setic,Capsule,Cefixime Trihydrate,400 mg,SANDOZ (A Novartis Division),55.25,(14's pack: ৳ 773.50)
Setic,Capsule,Cefixime Trihydrate,200 mg,SANDOZ (A Novartis Division),35.25,(14's pack: ৳ 493.50)
Setfree,Tablet,Levonorgestrel,1.5 mg,Nuvista Pharma Ltd.,1,1 tablet pack: ৳ 65.00
Sesofen,Tablet,Ketotifen Fumarate (Oral),1 mg,Rangs Pharmaceuticals Ltd.,2.50,(100's pack: ৳ 250.00)
Sesofen,Syrup,Ketotifen Fumarate (Oral),1 mg/5 ml,Rangs Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 55.00
Sevorane,Solution for Inhalation,Sevoflurane,250 mg/250 ml,Abbott Laboratories,250,250 ml bottle: ৳ 15
Sevoran,Solution for Inhalation,Sevoflurane,250 mg/250 ml,Techno Drugs Ltd.,250,250 ml bottle: ৳ 12
Sevitan HTZ,Tablet,Olmesartan Medoxomil + Hydrochlorothiazide,20 mg+12.5 mg,Radiant Pharmaceuticals Ltd.,10.50,(42's pack: ৳ 441.00)
Sevitan,Tablet,Olmesartan Medoxomil,40 mg,Radiant Pharmaceuticals Ltd.,18.00,(42's pack: ৳ 756.00)
Sevitan,Tablet,Olmesartan Medoxomil,20 mg,Radiant Pharmaceuticals Ltd.,10.00,(42's pack: ৳ 420.00)
Sevirax,Ophthalmic Ointment,Acyclovir (Ophthalmic),3%,Gaco Pharmaceuticals Ltd.,5,5 gm tube: ৳ 70.21
Sevenvit,Syrup,Multivitamin & Cod Liver Oil,,Pharmadesh Laboratories Ltd.,100,100 ml bottle: ৳ 80.00
Sevelax,Oral Emulsion,Magnesium Hydroxide + Liquid Paraffin,(300 mg+1.25 ml)/5 ml,Pacific Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 95.00
Servizol,Tablet,Metronidazole,400 mg,SANDOZ (A Novartis Division),1.13,(100's pack: ৳ 112.72)
Serviprofen,Tablet,Ibuprofen,400 mg,SANDOZ (A Novartis Division),1.42,(100's pack: ৳ 142.48)
Servipep,Tablet,Famotidine,40 mg,SANDOZ (A Novartis Division),6.10,(50's pack: ৳ 305.00)
Servipep,Tablet,Famotidine,20 mg,SANDOZ (A Novartis Division),4.00,(50's pack: ৳ 200.00)
Servinaprox,Tablet,Naproxen Sodium,500 mg,SANDOZ (A Novartis Division),12.10,(30's pack: ৳ 363.00)
Servinaprox,Tablet,Naproxen Sodium,250 mg,SANDOZ (A Novartis Division),7.00,(50's pack: ৳ 350.00)
Sidopin,Tablet,Amlodipine Besilate,5 mg,Eskayef Pharmaceuticals Ltd.,5.00,(50's pack: ৳ 250.00)
Sidobac,IM/IV Injection,Ceftazidime Pentahydrate,500 mg/vial,Incepta Pharmaceuticals Ltd.,500,500 mg vial: ৳ 115.00
Sidobac,IM/IV Injection,Ceftazidime Pentahydrate,250 mg/vial,Incepta Pharmaceuticals Ltd.,250,250 mg vial: ৳ 70.00
Sidobac,IM/IV Injection,Ceftazidime Pentahydrate,1 gm/vial,Incepta Pharmaceuticals Ltd.,1,1 gm vial: ৳ 215.00
Sicmon,Tablet (Extended Release),Pyridoxine Hydrochloride + Doxylamine Succinate,20 mg+20 mg,Navana Pharmaceuticals Ltd.,9.00,(30's pack: ৳ 270.00)
Sicmon,Tablet (Delayed Release),Pyridoxine Hydrochloride + Doxylamine Succinate,10 mg+10 mg,Navana Pharmaceuticals Ltd.,5.00,(30's pack: ৳ 150.00)
Sicef DS,Powder for Suspension,Cephradine,250 mg/5 ml,Silva Pharmaceuticals Ltd.,60,60 ml bottle: ৳ 70.26
Sicef,Pediatric Drops,Cephradine,125 mg/1.25 ml,Silva Pharmaceuticals Ltd.,15,15 ml bottle: ৳ 45.14
Sicef,Powder for Suspension,Cephradine,125 mg/5 ml,Silva Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 80.00
Sicef,Capsule,Cephradine,500 mg,Silva Pharmaceuticals Ltd.,12.55,(20's pack: ৳ 251.00)
Sibalyn,Cream,Silver Sulfadiazine,1%,ACI Limited,25,25 gm tube: ৳ 40.12
Sharpkil Plus,Powder for Suspension,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,Apex Pharmaceuticals Ltd.,70,70 ml bottle: ৳ 250.00
Sharpkil Plus,Tablet,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,Apex Pharmaceuticals Ltd.,50.00,(7's pack: ৳ 350.00)
Sharpkil Plus,Tablet,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,Apex Pharmaceuticals Ltd.,30.00,(14's pack: ৳ 420.00)
Sharpkil,Tablet,Cefuroxime Axetil,500 mg,NIPRO JMI Pharma Ltd.,45.00,(6's pack: ৳ 270.00)
Sharpkil,Tablet,Cefuroxime Axetil,250 mg,NIPRO JMI Pharma Ltd.,25.00,(12's pack: ৳ 300.00)
Siglimet,Tablet,Sitagliptin + Metformin Hydrochloride,50 mg+500 mg,Square Pharmaceuticals Ltd.,14.00,(30's pack: ৳ 420.00)
Siflam,Tablet,Ibuprofen,400 mg,Silva Pharmaceuticals Ltd.,1.20,(100's pack: ৳ 120.44)
Sifena,Tablet,Fexofenadine Hydrochloride,120 mg,Silva Pharmaceuticals Ltd.,7.00,(50's pack: ৳ 350.00)
Sifen TR,Capsule (Timed Release),Diclofenac Sodium,100 mg,Silva Pharmaceuticals Ltd.,2.51,(100's pack: ৳ 251.00)
Siesta,Tablet,Bromazepam,3 mg,Incepta Pharmaceuticals Ltd.,4.00,(30's pack: ৳ 120.00)
Sidoplus,Tablet,Amlodipine Besilate + Atenolol,5 mg+50 mg,Eskayef Pharmaceuticals Ltd.,6.00,"(40's pack: ৳ 240.00),(50's pack: ৳ 300.00)"
Sidoplus,Tablet,Amlodipine Besilate + Atenolol,5 mg+25 mg,Eskayef Pharmaceuticals Ltd.,5.25,(40's pack: ৳ 210.00)
SGN Plus,Tablet,Sitagliptin + Metformin Hydrochloride,50 mg+1000 mg,Pacific Pharmaceuticals Ltd.,28.00,(10's pack: ৳ 280.00)
SGN Plus,Tablet,Sitagliptin + Metformin Hydrochloride,50 mg+500 mg,Pacific Pharmaceuticals Ltd.,16.00,(12's pack: ৳ 192.00)
SGN,Tablet,Sitagliptin,25 mg,Pacific Pharmaceuticals Ltd.,8.00,(30's pack: ৳ 240.00)
SGN,Tablet,Sitagliptin,100 mg,Pacific Pharmaceuticals Ltd.,28.00,(10's pack: ৳ 280.00)
SGN,Tablet,Sitagliptin,50 mg,Pacific Pharmaceuticals Ltd.,15.00,(30's pack: ৳ 450.00)
SG-Plus,Syrup,Vitamin B complex,,Salton Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 20.64
Sezol DS,Tablet,Secnidazole,1000 mg,ACI Limited,17.05,(10's pack: ৳ 170.50)
Silfenac,Tablet,Aceclofenac,100 mg,Silco Pharmaceutical Ltd.,4.00,(100's pack: ৳ 400.00)
Silcream,Cream,Silver Sulfadiazine,1%,Jayson Pharmaceuticals Ltd.,5,5 gm tube: ৳ 14.00
Silcona,Capsule,Fluconazole,150 mg,Silco Pharmaceutical Ltd.,22.00,(20's pack: ৳ 440.00)
Silcona,Capsule,Fluconazole,50 mg,Silco Pharmaceutical Ltd.,8.00,(20's pack: ৳ 160.00)
Silclog,Tablet,Clopidogrel Bisulphate,75 mg,Silco Pharmaceutical Ltd.,10.00,(30's pack: ৳ 300.00)
Silcal-D,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,Silco Pharmaceutical Ltd.,5.00,"(30's pack: ৳ 150.00),(50's pack: ৳ 250.00)"
Silcal O,Tablet,Calcium Orotate,740 mg,Silco Pharmaceutical Ltd.,10.00,(30's pack: ৳ 300.00)
Silcal O,Tablet,Calcium Orotate,400 mg,Silco Pharmaceutical Ltd.,8.00,(30's pack: ৳ 240.00)
Silcal,Tablet,Calcium Carbonate,500 mg,Silco Pharmaceutical Ltd.,3.00,(50's pack: ৳ 150.00)
Silburn,Cream,Silver Sulfadiazine,1%,Pharmadesh Laboratories Ltd.,20,20 gm tube: ৳ 45.00
Silben,Chewable Tablet,Albendazole,400 mg,Silco Pharmaceutical Ltd.,4.00,(10's pack: ৳ 40.00)
Silatrol,Tablet,Cetirizine Hydrochloride,10 mg,Silco Pharmaceutical Ltd.,2.50,(100's pack: ৳ 250.00)
